system,doi,verified,title,year,journal,cited_by,open_access,pmid,mesh_terms,abstract,verify_issue
Xenopus_St42,10.1007/s00441-010-1042-0,True,Unusual development of light-reflecting pigment cells in intact and regenerating tail in the periodic albino mutant of Xenopus laevis,2010.0,Cell and Tissue Research,5,False,,,,
Xenopus_St47,10.1016/j.ydbio.2009.08.028,True,Electric currents in Xenopus tadpole tail regeneration,2009.0,Developmental Biology,45,True,,,,
Human_Skin,10.1016/j.anplas.2015.09.005,False,,,,0,False,,,,Expected year≈2016 keyword='human' | Got year=2016 title='Les cicatrices chéloïdes (première partie) : une pathologie de la cicatrisation '
Human_Oral,10.1016/j.ejcb.2015.08.001,False,,,,0,False,,,,Expected year≈2015 keyword='human' | Got year=2015 title='Fibroblast heterogeneity and its implications for engineering organotypic skin m'
Naked_Mole_Rat,10.1093/bioinformatics/btu579,True,The Naked Mole Rat Genome Resource: facilitating analyses of cancer and longevity-related adaptations,2014.0,Bioinformatics,71,True,,,"<jats:title>Abstract</jats:title>
               <jats:p>Motivation: The naked mole rat ( Heterocephalus glaber ) is an exceptionally long-lived and cancer-resistant rodent native to East Africa. Although its genome was previously sequenced, here we report a new assembly sequenced by us with substan",
Mouse_Digit_P3,10.1002/reg2.38,True,Principles and mechanisms of regeneration in the mouse model for wound‐induced hair follicle neogenesis,2015.0,Regeneration,52,True,,,"<jats:title>Abstract</jats:title><jats:p>Wound‐induced hair follicle neogenesis (WIHN) describes a regenerative phenomenon in adult mammalian skin wherein fully functional hair follicles regenerate de novo in the center of large excisional wounds. Originally described in rats, rabbits, sheep, and hu",
Mouse_Liver,10.3390/ijms17010030,False,,,,0,False,,,,Expected year≈2015 keyword='mouse' | Got year=2015 title='EGFR Signaling in Liver Diseases'
Axolotl_Limb,10.1002/dvdy.276,False,,,,0,False,,,,Expected year≈2021 keyword='axolotl' | Got year=2020 title='DNA repair during regeneration in <i>Ambystoma mexicanum</i>'
Zebrafish_Fin,10.1016/j.ygcen.2010.04.006,True,Implication of type 3 deiodinase induction in zebrafish fin regeneration,2010.0,General and Comparative Endocrinology,28,True,,,,
Human_Fetal_Skin,10.1016/j.jdermsci.2015.02.012,True,Transforming growth factor-β (TGF-β) signaling in healthy human fetal skin: A descriptive study,2015.0,Journal of Dermatological Science,27,True,,,,
Mouse_Ear_MRL,10.4161/cc.9.18.13119,False,,,,0,False,,,,Expected year≈2010 keyword='mouse' | Got year=2010 title='Epimorphic regeneration in mice is p53-independent'
Planaria_Head,10.1073/pnas.0906823106,True,A wound-induced Wnt expression program controls planarian regeneration polarity,2009.0,Proceedings of the National Academy of Sciences,242,False,,,"<jats:p>
            Regeneration requires specification of the identity of new tissues to be made. Whether this process relies only on intrinsic regulative properties of regenerating tissues or whether wound signaling provides input into tissue repatterning is not known. The head-versus-tail regene",
Hydra_Tentacle,10.1093/molbev/msv079,True,A Comprehensive Transcriptomic and Proteomic Analysis of Hydra Head Regeneration,2015.0,Molecular Biology and Evolution,121,False,,,,
Deer_Antler,10.1002/jez.b.21361,True,Stem cells responsible for deer antler regeneration are unable to recapitulate the process of first antler development—revealed through intradermal an,2010.0,Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,11,True,,,"<jats:title>Abstract</jats:title><jats:p>Antlers offer a unique model for the study of whether regeneration recapitulates development in a mammalian organ. Research, to date, supports the full recapitulation in antler, but a recent report that subcutaneously transplanted (ST) pedicle periosteum (PP)",
Human_Liver_Partial,10.1097/HC9.0000000000000348,False,,,,0,False,,,,Expected year≈2024 keyword='human' | Got year=2023 title='Intrahepatic neutrophil accumulation and extracellular trap formation are associ'
Zebrafish_Heart,10.1016/j.devcel.2015.12.010,True,Spatially Resolved Genome-wide Transcriptional Profiling Identifies BMP Signaling as Essential Regulator of Zebrafish Cardiomyocyte Regeneration,2016.0,Developmental Cell,190,True,,,,
