"gene","deep","enamel","sound"
"AXIN2",1.31,1.96,1.12
"BMP4",7.9,15.77,10.34
"BMPR1A",5.58,6.01,8.2
"BMPR1B",11.03,5.89,11.46
"BMPR2",15.96,10.57,14.04
"COL1A1",48.32,57.48,47.87
"COL1A2",60.72,72.27,55.39
"DLX5",38,57.94,38.43
"DLX6",17.19,19.76,23.15
"DMP1",1.34,1.5,1.01
"DSPP",0,0.17,0
"FOS",72.15,87.87,87.64
"IGF1R",7.55,8.32,5.62
"JUN",76.67,88.97,89.55
"JUNB",87.23,84.98,89.1
"LEF1",3.16,3,4.72
"MDK",50.44,71.58,57.08
"MSX1",42.34,57.71,38.31
"MSX2",29.97,25.77,50.11
"NFKB1",15.96,7.57,7.75
"PTN",64.28,75.39,53.93
"RELA",10.53,7.05,8.2
"RUNX2",16.01,18.72,15.62
"SOSTDC1",0.1,0.4,0
"SOX2",0.78,1.04,1.8
"SP7",NA,NA,NA
"WNT10A",2.55,0.4,0.34
