"gene","fetal_POB_pct","fetal_POB_mean","adult_deep_pct","adult_deep_mean","delta_pct","delta_mean"
"COL1A1",82.14,7.749,48.32,1.112,33.81,6.636
"RUNX2",38.53,3.166,16.01,0.219,22.53,2.947
"COL1A2",74.26,6.651,60.72,1.822,13.54,4.829
"SOSTDC1",10.85,0.858,0.1,0.002,10.75,0.856
"IGF1R",16.31,1.276,7.55,0.115,8.77,1.161
"LEF1",11.2,0.881,3.16,0.034,8.04,0.847
"DSPP",0.91,0.074,0,0,0.91,0.074
"SOX2",0.59,0.046,0.78,0.013,-0.19,0.033
"AXIN2",0.89,0.067,1.31,0.016,-0.43,0.052
"DMP1",0.15,0.012,1.34,0.028,-1.19,-0.016
"WNT10A",0.27,0.02,2.55,0.036,-2.28,-0.016
"BMP4",3,0.233,7.9,0.096,-4.9,0.137
"NFKB1",2.09,0.159,15.96,0.224,-13.86,-0.065
"DLX6",0.59,0.045,17.19,0.253,-16.6,-0.208
"MDK",28.35,2.268,50.44,1.187,-22.1,1.081
"MSX1",18.18,1.429,42.34,0.83,-24.15,0.599
"MSX2",1.4,0.108,29.97,0.548,-28.56,-0.44
"PTN",29.16,2.368,64.28,2.8,-35.12,-0.431
"DLX5",2.78,0.216,38,0.8,-35.21,-0.583
"FOS",11.42,0.901,72.15,2.455,-60.74,-1.554
"JUN",10.36,0.817,76.67,2.484,-66.31,-1.668
"JUNB",1.99,0.155,87.23,2.768,-85.23,-2.613
