"gene","OB_DSPP_pos_pct","OB_DSPP_pos_mean","OB_DSPP_neg_pct","OB_DSPP_neg_mean","fold_change"
"AXIN2",0.4,0.03,0,0,29.79
"DLX5",1.7,0.122,0.2,0.017,6.64
"TGFB3",1.7,0.13,0.4,0.034,3.72
"BMP4",1.7,0.123,0.4,0.035,3.44
"JUNB",0.9,0.069,0.2,0.019,3.44
"FOS",8.1,0.617,2.7,0.208,2.95
"WNT10A",2.1,0.17,0.9,0.071,2.37
"MSX2",2.6,0.189,1.1,0.085,2.2
"BMP2",4.7,0.361,2,0.165,2.17
"JUN",5.1,0.397,2.5,0.191,2.07
"MDK",7.7,0.58,3.6,0.289,2
"BMP7",10.3,0.785,5.4,0.441,1.78
"SOSTDC1",3,0.235,1.8,0.141,1.66
"MSX1",21.8,1.684,14.5,1.174,1.43
"COL1A1",97.9,11.036,85.5,8.096,1.36
"COL1A2",96.2,10.234,84.3,7.768,1.32
"PTN",29.1,2.337,23,1.934,1.21
"DLX6",0.9,0.061,0.7,0.053,1.12
"IGF1R",17.9,1.386,16.3,1.325,1.05
"RUNX2",26.1,2.008,23.3,1.905,1.05
"BMPR2",22.6,1.751,21.5,1.751,1
"DMP1",0.4,0.035,0.4,0.037,0.92
"NFKB1",1.7,0.125,1.8,0.144,0.86
"BMPR1A",7.3,0.538,9.6,0.764,0.7
"LEF1",5.1,0.394,7.4,0.592,0.66
"TGFB2",12.8,0.989,18.3,1.495,0.66
"BMPR1B",0.4,0.03,0.7,0.054,0.54
"SOX2",0,0,0,0,0
